exchange,code,name,listed_from,listed_to_exclusive,list_evidence_class,delist_evidence_class
SZSE,002893,京能热力,2017-09-15,,RETROSPECTIVE_PRIMARY,
SZSE,002895,川恒股份,2017-08-25,,RETROSPECTIVE_PRIMARY,
SZSE,002896,中大力德,2017-08-29,,RETROSPECTIVE_PRIMARY,
SZSE,002897,意华股份,2017-09-07,,RETROSPECTIVE_PRIMARY,
SZSE,002899,英派斯,2017-09-15,,RETROSPECTIVE_PRIMARY,
SZSE,002900,哈三联,2017-09-22,,RETROSPECTIVE_PRIMARY,
SZSE,002901,大博医疗,2017-09-22,,RETROSPECTIVE_PRIMARY,
SZSE,002902,铭普光磁,2017-09-29,,RETROSPECTIVE_PRIMARY,
SZSE,002903,宇环数控,2017-10-13,,RETROSPECTIVE_PRIMARY,
SZSE,002905,金逸影视,2017-10-16,,RETROSPECTIVE_PRIMARY,
SZSE,002906,华阳集团,2017-10-13,,RETROSPECTIVE_PRIMARY,
SZSE,002907,华森制药,2017-10-20,,RETROSPECTIVE_PRIMARY,
SZSE,002908,德生科技,2017-10-20,,RETROSPECTIVE_PRIMARY,
SZSE,002909,集泰股份,2017-10-26,,RETROSPECTIVE_PRIMARY,
SZSE,002910,庄园牧场,2017-10-31,,RETROSPECTIVE_PRIMARY,
SZSE,002911,佛燃能源,2017-11-22,,RETROSPECTIVE_PRIMARY,
SZSE,002912,中新赛克,2017-11-21,,RETROSPECTIVE_PRIMARY,
SZSE,002913,奥士康,2017-12-01,,RETROSPECTIVE_PRIMARY,
SZSE,002915,中欣氟材,2017-12-05,,RETROSPECTIVE_PRIMARY,
SZSE,002916,深南电路,2017-12-13,,RETROSPECTIVE_PRIMARY,
SZSE,002917,金奥博,2017-12-08,,RETROSPECTIVE_PRIMARY,
SZSE,002918,蒙娜丽莎,2017-12-19,,RETROSPECTIVE_PRIMARY,
SZSE,002919,名臣健康,2017-12-18,,RETROSPECTIVE_PRIMARY,
SZSE,002920,德赛西威,2017-12-26,,RETROSPECTIVE_PRIMARY,
SZSE,002921,联诚精密,2017-12-27,,RETROSPECTIVE_PRIMARY,
SZSE,002922,伊戈尔,2017-12-29,,RETROSPECTIVE_PRIMARY,
SZSE,002923,润都股份,2018-01-05,,RETROSPECTIVE_PRIMARY,
SZSE,002925,盈趣科技,2018-01-15,,RETROSPECTIVE_PRIMARY,
